"id","STREET_NAME","yearCreated","totPotHole"
"2392","RED BUD AV","2025",0
"2393","REDWOOD TER","2023",0
"2394","REGENT AV","2025",0
"2395","REGINA GRAETER WY","2025",0
"2396","RICHARDSON PL","2025",0
"2397","RICHMOND ST","2023",0
"2398","RIDDLE VIEW LN","2023",0
"2399","RIDGELAND PL","2023",0
"2400","RIDGEVIEW AV","2025",0
"2401","RIDGEWAY AV","2025",0
"2402","RING PL","2023",0
"2403","RINGGOLD ST","2025",0
"2404","RIVERSIDE DR","2023",0
"2405","RIVERVIEW PL","2025",0
"2406","ROBERT AV","2024",0
"2407","ROBISON RD","2023",0
"2408","ROBISON RD","2025",0
"2409","ROLL AV","2024",0
"2410","ROOKWOOD DR","2025",0
"2411","ROSSLYN DR","2025",0
"2412","ROXBURY ST","2024",0
"2413","RUBERG AV","2024",0
"2414","RULISON AV","2023",0
"2415","RUSHTON RD","2025",0
"2416","RUSSELL AV","2023",0
"2417","SAFFER ST","2024",0
"2418","SALEM RD","2023",0
"2419","SALISBURY DR","2025",0
"2420","SALUTARIS AV","2024",0
"2421","SALVADOR ST","2023",0
"2422","SARGENT ST","2025",0
"2423","SCIOTO LN","2024",0
"2424","SEEGAR AV","2025",0
"2425","SETON AV","2025",0
"2426","SETTLE ST","2025",0
"2427","SHAFFER AV","2024",0
"2428","SHATTUC AV","2024",0
"2429","SHATTUC AV","2025",0
"2430","SHERWOOD AV","2024",0
"2431","SOLAR VISTA PL","2024",0
"2432","SPINDLEWICK LN","2024",0
"2433","SPINDLEWICK LN","2025",0
"2434","SPRING GROVE CT","2023",0
"2435","ST CHARLES PL","2025",0
"2436","ST ELMO AV","2024",0
"2437","ST ELMO AV","2025",0
"2438","ST LEO PL","2024",0
"2439","ST LEO PL","2025",0
"2440","ST PAUL PL","2024",0
"2441","ST PAUL PL","2025",0
"2442","STANHILL CT","2024",0
"2443","STATION AV","2023",0
"2444","STETTINIUS AV","2023",0
"2445","STEWART AV","2024",0
"2446","STILLWELL RD","2023",0
"2447","STRAFER ST","2024",0
"2448","STRATHMORE DR","2024",0
"2449","STURDY AV","2025",0
"2450","STURGIS AV","2025",0
"2451","STURM ST","2024",0
"2452","SUNSET LN","2024",0
"2453","SYMMES ST","2024",0
"2454","TALBOTT AV","2025",0
"2455","THOMASVILLE DR","2025",0
"2456","THORNTON AV","2025",0
"2457","TIMBERCREST DR","2025",0
"2458","TOWANDA TER","2024",0
"2459","TREMONT ST","2024",0
"2460","TRENTON AV","2023",0
"2461","TRENTON AV","2025",0
"2462","TREVOR PL","2024",0
"2463","TUXWORTH AV","2024",0
"2464","TWIN OAK DR","2023",0
"2465","TWIN OAK DR","2024",0
"2466","UNIVERSITY CIR","2024",0
"2467","UNIVERSITY CT","2025",0
"2468","URWILER AV","2025",0
"2469","VALENCIA ST","2024",0
"2470","VAN DYKE AV","2024",0
"2471","VAN DYKE AV","2025",0
"2472","VAN LEUNEN DR","2024",0
"2473","VASSAR CT","2023",0
"2474","VAUGHN ST","2024",0
"2475","VERNE AV","2025",0
"2476","VINECREST PL","2024",0
"2477","VINECREST PL","2025",0
"2478","VINEDALE AV","2023",0
"2479","VINEWOOD AV","2024",0
"2480","VINEYARD PL","2025",0
"2481","WALWORTH AV","2024",0
"2482","WARD ST","2025",0
"2483","WARRICK ST","2023",0
"2484","WATER ST","2023",0
"2485","WAYSIDE AV","2024",0
"2486","WAYSIDE PL","2025",0
"2487","WEIGOLD AV","2023",0
"2488","WELLS ST","2023",0
"2489","WEST LAUREL PARK DR","2024",0
"2490","WESTGATE AV","2024",0
"2491","WESTMORELAND AV","2023",0
"2492","WESTSIDE AV","2023",0
"2493","WESTWOOD AV","2024",0
"2494","WHIPPLE ST","2025",0
"2495","WHITEHALL AV","2025",0
"2496","WHITEMAN ST","2024",0
"2497","WHITMAN CT","2025",0
"2498","WILDER AV","2025",0
"2499","WILLIAMSBURG DR","2025",0
"2500","WILLIAMSON PL","2025",0
"2501","WITLER ST","2024",0
"2502","WOLFF ST","2024",0
"2503","WOOD AV","2025",0
"2504","WOODBURN AV","2024",0
"2505","WOODLAND AV","2025",0
"2506","WOOL ST","2024",0
"2507","WUNDER AV","2025",0
"2508","WYNNE PL","2025",0
"2509","YALE AV","2025",0
"2510","YORK ST","2023",0
"2511","ZIEGLE AV","2023",0
"2512","ZINN PL","2024",0
"2513","ZULA AV","2023",0
